line,intent
Tell him how you feel and what you think about the situation.,Advice/Opinion-seeking
May you ask these men if they are married?,Objective Questions
If two men or two women are happy together then let them get married.,Opinion
"You have to fight for them because it is a dog eat dog world, and girls fight over guys.",Opinion - Judging
It is obvious that this woman needs help because her priorities are all messed up.,Judging
WHat do you think about being with a man only for money?,Advice/Opinion-seeking
Yes unless they are on the pill or have not begun their periods.,Informational
"No matter how much effort one party expends, it has to come from both sides.",Opinion
"It has extensive religious undertones.  In fact, it is rather menacing, as though ""Big Father"" is watching!",Assessing/Judging
Do not allow anyone to dissuade you.,Support
Good luck and Merry Christmas!,Casual Conversation
Money is not a good reason to marry someone.,Advice/Opinion-seeking
You no longer look like you did when we married because you gained a great deal of weight since then.,Complaints/Rants
Some of the women seeking relationships ion Match.com are seeking relationships with men who are from six to eight feet tall.,Information
I am not sure what you mean.,Inquiry
A woman would respond to this with warm feelings.,Assessing/Judging
"You should, you might never have the opportunity to do that again. You could die.",Warning/Caution
"Men do things because you want to, he wants to please you.",Judging
"He will, if he truly loves you.",Assessing/Judging
"Well then, how do you know her word is true?",Inquiry
Do not be hesitant as those who do not act immediately will lose.,Warning/Caution
"I apologize, however you will experience more happiness this way.",Advice/Opinion-seeking
"I would speak with her, however she is not the sort of person who will listen.",Assessing/Judging
"I have a friend, Tyler, who feels romantically towards me, however I do not believe I return those feelings.",Information Sharing
Refrain from referring to her as fat and use the term 'big boned' instead.,Advice/Opinion-seeking
Read what Benji wrote after I came back!,Inquiry
"I couldn't stand being away from home, therefor I had to quit working abroad.",Personal Experiences/Recommendations
They are attempting to frighten you.,Warning/Caution
That is what I would like for myself.,Preferences/Decisions
It is sad that she is only looking to better herself.,Judging
My mother's two sisters were married to two brothers.,Casual Conversation
It is the latest fad to try text messaging.,Casual Conversation
"Tell him that if he can not handle it, he will have to go.",Advice/Opinion-seeking
Buy something and then ask her if she would like to go out for a beer.,Advice/Opinion-seeking
I think I am lost.,Navigationality
Women who enjoy having a good time!,Casual Conversation
Why don't you ask them to go to the movies or the mall?,Advice/Opinion-seeking
"This is free of charge, but that is not.",Information
I have packed my bags and I am ready to go.,Information Sharing
Unattractive people similar to you also need love.,Snark/Sarcasm
Allow your love to mature over time.,Advice/Opinion-seeking
"A man that loves to eat, looks at the fat lady in disgust.",Judging
"When you are about to reach climax, her reaction will be visible in her eyes.",Personal Experiences/Recommendations
Does a counterfeit diamond diminish your love or marriage?,Opinion Seeking
"I am not for marriage equality, but I don't have a problem with homosexuals.",Opinion Expressing
"When you are loved, so listen to a slow song such as Yanni's album ""In the Mirror"".",Personal Experiences/Recommendations
"Her first initial is A, oh lord what will I do?",Emotional Expression
"No, sorry they were taken while we were still asleep.",Explanation/Causality
You try to be too serious.,Complaints/Rants
"Whoever said ""Money can't buy happiness"" was wrong.",Opinion/Assessing/Judging
"My boyfriend said he would be back at noon, but he is three hours late!",Complaints/Rants
"the ones that will admit it, at least.",Snark/Sarcasm
It feels twice as nice when he can not hold it in any longer.,Casual Conversation
Do not carry her books unless you really like her.,Advice/Opinion-seeking
Thin women could do with more weight on their skin.,Judging
"To win one, you must get to know her.",Advice/Opinion-seeking
I wish to see if I can improve anything.,Advice/Opinion-seeking
"So feel free and be confident, but not too much. They may see you as someone who has an inflated ego.",Advice/Opinion-seeking
"If that does not work, then in all honesty you should get a lawyer.",Advice/Opinion-seeking
What you are doing is wrong.,Judging
"If you want to discreetly reject him, give him your phone number but with a few incorrect digits.",Advice/Opinion-seeking
Do not behave that way. Start doing better things with your life.,Advice/Opinion-seeking
You may even discover that it requires no great effort to enjoy.,Advice/Opinion-seeking
You cannot. You will not give it away so we must lie to you in order to get it.,Judgment
Meet him at the next party he attends.,Advice/Opinion-seeking
You should be more direct with him.,Advice/Opinion-seeking
Perhaps they are still together.,Gossip
"I'm sorry, but this situation may not work out.",Advice/Opinion-seeking
This is true for the majority of male Caucasians.,Judging
You shouldn't be so obvious.,Judging
It is neither correct nor incorrect to engage in interracial dating.,Advice/Opinion-seeking
"The next consecutive action if she states disagreement and she is clear, or something of that nature, then you continue to ask her.",Procedurality
You must be positive he returns your love then the two of you take on life's challenges together.,Advice/Opinion-seeking
Inform him of an accident you have had and pay close attention to his reaction.,Advice/Opinion-seeking
"Additionally, your answer was ""try naked"" so is the answer considered vulgar?",Advice/Opinion-seeking
Do you want to forgive him or not?,Advice/Opinion-seeking
"If you do ignore them, do not be harsh, it can be hard to take and just be honest.",Advice/Opinion-seeking
Why not try and get on with your life?,Advice/Opinion-seeking
You should start flirting with one of his/her friends.,Advice/Opinion-seeking
Mixed children are very pretty.,Opinion
I am also happy to say that I am married to a really nice gentleman who completely respects me.,Casual Conversation
"If a person is abusive to you, they could not care about you that much.",Assessing/Judging
It seems hopeless for me.,Complaints/Rants
Do not be afraid of her; just be yourself.,Support
"Well, if you must ask - if this is a joke, what is the punchline?",Humor
This would indicate he is not a real man.,Judging
"This includes: grade school, high school, college, jobs, etc.",Information
I am confident you are a nice person.,Social Support
You should take a chance and try it if you feel you really love him.,Advice/Opinion-seeking
"Whenever there is too much of an age gap between two people, it can create a labeling of a pedophile. For example, over 30 and under 20 would be considered improper.",Judging
"Until you try, you may never know.",Advice/Opinion-seeking
"If you are cruel, only barbarians will find you attractive.",Judging
That is the reason that you may already have the knowledge.,Information
"When you have intercourse, lie on a bed, and it may hurt, but may still be enjoyable.",Personal Experiences/Recommendations
"If she's a down to Earth type of girl, like myself. Sex isn't a concern.",Preferences/Decisions
That sounds similar to things I've done.,Personal Experiences/Recommendations
I prefer thin funny guys.,Preferences/Decisions
"If you have children, stay with them!",Warning/Caution
Would you be kind enough to answer my question as well?,Inquiry
What should I do if my mom finds out?,Advice/Opinion-seeking
If you do not believe she is being honest then break up with her.,Advice/Opinion-seeking
"I the answer is no, you should not ask him or anyone else out for that matter.",Advice/Opinion-seeking
I wanted to marry my boyfriend years ago and we have waited.,Personal Experiences/Recommendations
"That is a little too romantic but it is good, the girl might be a little freaked out.",Assessing/Judging
"You do not want to scare her, especially since you do not know her.",Advice/Opinion-seeking
You could even make it fun by throwing in some shampoo and asking if he wants to wrestle.,Humor
What can be done to get over it?,Advice/Opinion-seeking
What matters is that you are yourself and you have fun in your own group.,Support
"If you hesitate or doubt that you are, than yo are not.",Judgment
"He's busy working, studying, etc.",Information
Playing the field as they say.,Casual Conversation
It seems like it's time to start.,Procedurality
"He stated he wasn't hiding it from me, that he just didn't tell me.",Assessing/Judging
You should surround yourself with special people.,Advice/Opinion-seeking
"I do not care about love; rather, I take revenge.",Preferences/Decisions
"Gentlemen, I would advise the same for you concerning romance.",Advice/Opinion-seeking
"Although I personally could not do it, I am aware of many who would.",Preferences/Decisions
"Try eating lunch with her. If that is successful, you all will actually be conversing.",Advice/Opinion-seeking
They desire diversity in their lives.,Preferences/Decisions
"I am a hopeless romantic, which, at times, can be quite ridiculous.",Emotional Expression
You should only talk about the two of you and how your relationship is faring.,Advice/Opinion-seeking
"Let them see who you are, do not try to be someone that you are not.",Advice/Opinion-seeking
"If he came close to cheating, you should make him want to be with you again, but keep a close eye on him.",Advice/Opinion-seeking
"Well, it depends. Do you love him?",Causality
Neither because true love is the best.,Judging
Do not try to change for anybody because you are who you are!,Advice/Opinion-seeking
Are you a girl?,Objective Questions
I would be hurt if I was the guy.,Judging
All 2 and 4 legged animals are okay except for insects.,Preferences/Decisions
I would be pleased if a physically attractive man would kiss me passionately without even speaking.,Preferences/Decisions
"Also, thank you for your great black and white digital photo answer.",Appreciation
I would recommend divorcing him hastily.,Advice/Opinion-seeking
"As a relationship is based on more than kissing passionately, one or two missed opportunities will not destroy the relationship.",Advice/Opinion-seeking
It sounds like this man is trying to do too much to be successful at all of his ventures.,Judging
Movies are good but you have to wait awhile for everyone else to leave.,Casual Conversation
Please wait until the lady reads your question.,Procedurality
What is there to do?,Inquiry
Love is a package deal because it always comes with risks.,Advice/Opinion-seeking
We can do the job ourselves.,Decision
"If you must ask, I must say no.",Rejection
Anywhere from age eight to eighteen but most of us have them during or after the onset of puberty.,Information
Try to relax and trust him.,Advice/Opinion-seeking
It would beneficial to try something else.,Advice/Opinion-seeking
"You should find the firls he is having an affair with and hurt her, then slap him and break up with him.",Advice/Opinion-seeking
You should not speak ill of them.,Advice/Opinion-seeking
"You should advise her to compete her GED requirements, get legal emancipation and move out since she does not like home.",Advice/Opinion-seeking
Sometimes the more we love someone the more it hurts when the relationship is over.,Emotional Expression
There is a struggle on their part to eliminate a certain group of person from their inner circle as it is their sole desire in life.,Complaints/Rants
"If you disagree, I suggest you move on.",Advice/Opinion-seeking
"You should always make it a priority to have fun together, and you should also make sure to remain trusting of the other person.",Advice/Opinion-seeking
"Her husband has been acting strangely, so I should do some research on these strange phone numbers.",Advice/Opinion-seeking
I would prefer not to discuss the rest.,Preferences/Decisions
I would imagine that my surprise is due to it even being a question.,Complaints/Rants
"The ring is not the problem, the lying is the real problem.",Assessing/Judging
I would encourage you to pursue her as long as she is not a minor.,Advice/Opinion-seeking
I must ask that you do not inquire how I have this information.,Warning/Caution
And also the fact that your husband is in love with you?,Causality
Most men think that it's sexy.,Opinion
Just because you love someone doesn't meant that you should be with them.,Advice/Opinion-seeking
"Unless, of course, someone that's really weird asks them out, then they just can't say ""no.""",Preferences/Decisions
"If you don't want strokes, don't reject them.",Warning/Caution
"If he's still saying ""no"", then I would advise you to investigate.",Advice/Opinion-seeking
"Oh honey, you have your work cut out for you.",Snark/Sarcasm
I lost everything.,Emotional Expression
"I have not yet, but I had friends who have and they enjoyed it.",Personal Experiences/Recommendations
If you really love your boyfriend then no.,Advice/Opinion-seeking
I get one hour of sleep every evening.,Complaints/Rants
Make her believe that you have a girlfriend.,Advice/Opinion-seeking
Call right away if you are interested in them.,Advice/Opinion-seeking
"Change your phone number, or get a restraining order.",Advice/Opinion-seeking
It doesn't mean you are in love just because someone makes you feel less lonely.,Advice/Opinion-seeking
"No, because you are too young.",Warning/Caution
It depends on what you are looking for in a guy and what you want.,Advice/Opinion-seeking
What o you think about traveling to Bali?,Advice/Opinion-seeking
I do not think as often as men who want it or like it more.,Judging
You should just tell him to stop calling you while you are at work.,Advice/Opinion-seeking
I do not care for small or large guys!,Preferences/Decisions
I had to rely on my own resources at a young age which was dangerous at times.,Personal Experiences/Recommendations
Join him and have fun with each other afterwards!,Advice/Opinion-seeking
Then you will know who the most loyal friends are.,Assessing/Judging
"If you live in the United States of America, I can get you any flavor, any size you like.",Personal Experiences/Recommendations
Most women want a man would die for them.,Assessing/Judging
"No, definitely don't tell them soon.",Advice/Opinion-seeking
Slowly start to ask to go to the movies.,Advice/Opinion-seeking
"Don't get angry, it will soon pass.",Support
"We are family - mother, brother, sister, cousin, nephew,niece, aunt, and uncle.",Casual Conversation
"No matter how old they get, almost every guy in the world likes video games.",Preference/Generalization
"""Why should males have to pay all the time?"" says an interested female.",Opinion-seeking
I am sure that you cannot marry your affair.,Judging
Just as straight couples love each other.,Opinion - Judgment
It is possible if you dream.,Emotional Expression
You should if you really do love her.,Advice/Opinion-seeking
"If it is true love, you will put you loved one's needs before your own.",Advice/Opinion-seeking
There was an episode where the host - the new guy but not Tommy Grand- was stabbed.,Information Providing
And the least was two weeks and you?,Casual Conversation
They do not like to feel trapped.,Information
"You should just be yourself, and let things happen naturally.",Advice/Opinion-seeking
"I recommend reading books that are humorous and inspirational. And of course, no romance novels.",Personal Experiences/Recommendations
I wonder what caused all of this in the beginning. Were one of you being unfaithful?,Causality
It is important for it to be consensual.,Advice/Opinion-seeking
"Be yourself, show interest, and see what happens next.",Advice/Opinion-seeking
"Children are difficult most of the time, if you have the pleasure of being an uncle, enjoy that.",Advice/Opinion-seeking
"However, this doesn't mean I won't love again.",Emotional Expression
"Love them, all of them!",Emotional Expression
"Don't let them get away, or you will end up causing yourself pain.",Warning/Caution
"As often as they can and want to, but five times a day is a good number.",Preferences/Decisions
"By the way, he can not keep his hands off of you.",Gossip
Mr. Right is out there somewhere.,Support
"Otherwise, you will always be wondering.",Advice/Opinion-seeking
I think you are better off that way.,Advice/Opinion-seeking
What would you like to do?,Objective/Procedural Question
My friend wants to buy a star in memory of his late daughter.,Information Inquiry
"I am a girl, so I do not know.",Casual Conversation
Why in the world would you not?,Snark/Sarcasm
A girl's beauty can compensate for an unpleasant personality.,Assessing/Judging
I am currently 22-years-old and am dating a man who is 31-years-old.,Information Sharing
Become aware that you have people in your life that will be here to support you.,Support
Did you and he break up because it was his desire?,Information Seeking
You should help him find a job.,Advice/Opinion-seeking
Do not let others influence how you choose live your life.,Advice/Opinion-seeking
That alone does not make the interaction flirtacious.,Judging
"Remember, if he does not fit what you are looking for, he is unlikely to change to become who you want.",Advice/Opinion-seeking
"Both women and men have work done, and everyone wants a large SUV or a Mansion.",Opinion
Your lover desires intercourse and he is facing the possibility of a seven year prison sentence for statutory rape.,Warning/Caution
"Also, I have a crush on a boy in my class. Any advice on how to tell him?",Advice/Opinion-seeking
"When you are in love, no one else matters when you guys are together.",Casual Conversation
I was married to a liar for 15 years.,Complaints/Rants
Girla like to know that they are sexy and appealing to guys.,Advice/Opinion-seeking
I need to know it before it is too late.,Information Seeking
"He always causes troubles when she hangs out, which she never does.",Complaints/Rants
"Well, it usually depends upon the type of girl we are talking about.",Opinion-seeking
"He has a baby, and she claims that they are married.",Gossip
They want someone who will be there by their side no matter what happens.,Judging
"You are being paranoid, Mary Jane, and maybe it is your name causing it.",Judging
And I was thinking of giving him mine for Christmas!,Personal Experiences/Recommendations
You need to leave town.,Warning/Caution
I am dating a man who is amazing!,Casual Conversation
"First, get some paper, pens, and an envelope.",Procedurality
What do you suppose you should think about that?,Advice/Opinion-seeking
It is simple to say and amazing to feel.,Casual Conversation
"He really does not like me now, because she tells him bad things about me that are not true.",Complaints/Rants
"It will be tough, but you have to pull everything together and be extremely strong.",Support
Have I ever had a crush or been in love with a male?,Inquiry
There are too many things I hate about him; he spends all his time playing video and computer games and he is never romantic.,Complaints/Rants
Try to figure out exactly what it is that has upset you.,Advice/Opinion-seeking
Do you remember- nice guys finish last?,Opinion-seeking
You are pursuing your own dreams and he should be able to understand that.,Support
what I will do is ask that person out and if they say no i will say it was a joke.,Preferences/Decisions
The song is ribbon in the sky by Stevie Wonder.,Information
"I am sorry, I have not read your other questions.",Information
The first response seems to be  the correct response.,Opinion
Ask him if he is seeing someone else.,Advice/Opinion-seeking
You would already know if a guy is interested in you.,Advice/Opinion-seeking
"You really need to get a photograph of that, dude.",Casual Conversation
"Ask yourself if you like the person, if they are cute, and if they are interesting.",Advice/Opinion-seeking
I would like a Best Buy or iTunes gift card.,Preferences/Decisions
I do not like guys who are too short or too tall.,Preferences/Decisions
It would be upon the death of you or your child.,Warning/Caution
"You should see what she wants and try to rekindle what you once had, or remain good friends.",Advice/Opinion-seeking
It sounds like he's the one that ended the relationship. Right?,Inquiry
You can drive her to school and pick her up afterwards.,Procedurality
"Don't worry about what she is thinking, let her know how you feel.",Advice/Opinion-seeking
You don't need someone who treats you badly.,Advice/Opinion-seeking
"Yes, when it comes to an end, it's inevitable.",Opinion
"If you do not succeed this time, keep trying.",Support
"She may not prefer a day at the spa, as I do not.",Preferences and Decisions
It is against the law for the two of you to engage in sexual activity.,Warning/Caution
The reason is that males tend to see better than imagine.,Causality
"My friends and I are going to do that on Saturday, if you would like to join.",Casual Conversation
"I want to get married and breed, it's hard to do that.",Socio-emotional (Casual Conversation)
"I always try to make her content, but not with gifts.",Personal Experiences/Recommendations
You could suggest a night on the town with you.,Advice/Opinion-seeking
Only if you want to have children.,Preferences/Decisions
If you and the man have mutual feelings then why not?,Advice/Opinion-seeking
Someone that I know and someone that I trust.,Casual Conversation
"Who minds 1, 3, 4, and 5? There can only be so many nice combinations.",Inquiry
It doesn't have a straight only policy.,Information
If you get returning messages then it should work out.,Advice
If he loves you he will show you.,Advice/Opinion-seeking
i can count on them.,Support
The rules are not strict.,Opinion (Assessing/Judging)
It get rejected it's a good sign.,Opinion
Do you like to wear the same clothes everyday?,Casual Conversation
I pretty much like all breasts.,Preferences/Decisions
"If you are the suspect, what would you expect?",Inquiry
This is good for one back scratch. What else can I say?,Advice/Opinion-seeking
Promise him intercourse. He probably will not refuse.,Advice/Opinion-seeking
"To keep your oath, you are supposed to only be with him or her.",Advising
You instincts are most likely correct.,Support
"She was always the strongest person I know, but sometimes there is a person who can really destroy you.",Emotional Expression
You have a very unrealistic future ahead.,Judging
If the total accident was my fault I wouldn't admit blame as mistakes happen.,Preferences/Decisions
I did not purchase much mainly window shopping.,Casual Conversation
It doesn't jump at you and grab your interest at a later time.K,Judging
Kids can sense the tension between their parents when a marriage is bad.,Assessing/Judging
"As the two of you are no longer engaged in a relationship, you cannot hold that against her.",Advice/Opinion-seeking
"If you have to ask, then the answer is no.",Snark/Sarcasm
"Sometimes, women do not at first realize that a man they are dating is not nice.",Assessing/Judging
"Venture out and have fun, possibly engaging in sexual liaisons.",Advice/Opinion-seeking
It is a commonly held platitude that you cannot force someone to like you.,Opinion
He is 20 years old. I'm 17 years old.,Information
You are conversating with the wrong group of people.,Complaint/Rant
"There are a few good ones out there. Yes, I do believe that there is a thing known as ""love.""",**Intent:** Opinion
"Sorry, but my wife did the same thing to me.",Support
A lot of males like to engage in sexual relations and some prefer not to.,Information Seeking
If you feel comfortable enough to get married then do so otherwise do not get married.,Advice/Opinion-seeking
I hope that when I am your age I have luck like that!,Casual Conversation
Life is short so think wisely. Best of luck to you!,Advice/Opinion-seeking
I want to know about this.,Inquiry
If you would like to remove your Yahoo!,Procedurality
If he tries to get with you then you will understand.,Warning/Caution
It is about what the person is searching for.,Information
"Well, you can tell her straight out that you like her, or you can give out clues.",Advice/Opinion-seeking
"If she isn't interested in you, I am.",Casual Conversation
"I have been wondering the same thing, do not give up though, there are some good men available.",Support
Be courageous and say what you want to!,Advice/Opinion-seeking
If she continues to do that it is probably because she is aware it aggravates you.,Assessing/Judging
"You could get a web cam and show her your private parts. Ask her to ""bring it on.""",Humor
"With a negative attitude like that, yes.",Judging
Buy her things and tell her she is correct.,Advice/Opinion-seeking
I would not have thought bad about it if I had not hid it.,Assessing/Judging
"Seriously though, fun dates do not have to be expensive.",Advice/Opinion-seeking
"Well I have heard that Australia has the most beautiful women, but I am not sure.",Opinion-seeking
"Oh babe, be sure to know when I will be back again.",Social Questions
A relationship is about more.,Casual Conversation
I believe that men look at porn and it is irrelevant.,Judging
He is not the kind of man that you may want.,Judging
My wife said that they are no longer available.,Information
"Although it was similar work to that of a child, she loved it.",Casual Conversation
"You cannot change the ability of people to do as they please, you simply cannot.",Judging
Accept that he/she is not fit to wed you.,Advice/Opinion-seeking
The reason you are not liked is most likely that you are very rude.,Judging
"End the relationship, weep and be sorrowful for as long as you need. Then, be happy again.",Advice/Opinion-seeking
Do not allow yourself to become like that.,Advice/Opinion-seeking
This gift is special and will be cherished forever.,Casual Conversation
I once heard  a gentleman explain this topic more in depth.,Personal Experiences/Recommendations
I have exhausted all options. Do you have any suggestions?,Advice/Opinion-seeking
Could you find the email address on a website?,Information Inquiry
Not if he broke up with you.,Judging
Do not run to the altar.,Advice/Opinion-seeking
I always cheat on my girlfriend by taking girls to Walmart.,Confession
"My ex-girlfriend had the same fear, she would not let me have sex with her either.",Personal Experiences/Recommendations
"Hooray, he is going by himself.",Casual Conversation
"If you drink too much, you will talk too much.",Causality
"I think that boys fall for girls who have a pretty face, a great body and no brain.",Judging
"I broke up with you, but I did not mean it as I was drunk.",Complaints/Rants
Take a good look at the situation and you can probably tell.,Advice/Opinion-seeking
"Do not fight it, rather learn it, and you will be better off.",Advice/Opinion-seeking
You are a bad person and you are going to burn in hell.,Complaints/Rants
I have the information.,Information
"Just remember, having sexual intercourse with a person makes you physically connected.",Advice/Opinion-seeking
People so this because there is not anything good to do at school.,Complaints/Rants
"I try to counsel others about relationships, so her is my advice to you.",Advice/Opinion-seeking
"Yes, but only if they have the appropriate head-shape",Opinion
"Actually, I believe in both simultaneously",Opinion - Preferences/Decisions
"It is okay to pierce nipples and ears, but not tongues.",Opinion/Assessing
I really want her back in my life but honestly I do not know what do I need to do to get her back.,Advice/Opinion-seeking
I warned you so don't be surprised if he cheats or dump you.,Warning/Caution
She has an awful lot to lose.,Assessing/Judging
"So, ironically, I love the people who I hate at the same time.",Emotional Expression
Lunch is a nice rest.,Casual Conversation
"Quit having sex with him, and see how long it lasts.",Advice/Opinion-seeking
"Looking is one thing, but joining in seems like he's looking for another woman.",Assessing/Judging
Nothing under the sun is that important!,Complaints/Rants
It would be great if someone could give me the URL for the picture.,Information Seeking
It's not that all men are dogs.,Judging
"Time, money or some of both.",Preferences/Decisions
They make love face to face with eye contact.,Casual Conversation
You have a long distance relationship that has lasted four years and is still going on?,Objective Question
Ignore him some more and he will get the message.,Advice/Opinion-seeking
"Finally, if you are in love with someone you will know.",Opinion (Advice/Opinion-seeking)
End your relationship with him and move on with your life.,Advice/Opinion-seeking
You need to let him know how much you like him and that you would like to kiss him.,Advice / Opinion-seeking
Why can't she be faithful to me?,Causality
"No, my parents are divorced and only my dad does that.",Information Sharing
Just let them know that you are not interested.,Advice/Opinion-seeking
"If you are a determined woman, like myself , then yes.",Preferences/Decisions
Part Two: Kiss her below the waist.,Casual Conversation
"Have you ever heard the term 'Friends with benefits' , or 'Booty Call'?",Information Seeking
You should not try to force it.,Advice/Opinion-seeking
"You should be honest and say, 'I no longer want you in my life.'",Advice/Opinion-seeking
"They are rude. Next time, you should initiate a fight with him.",Advice/Troubleshooting
"I have reviewed your questions. The two of you have a good deal of problems, and I recommend you end this and move on.",Advice/Opinion-seeking
"It may take quite a long time, but proceed slowly, be honest, and share a generous amount of love.",Advice/Opinion-Seeking
Are there other things that you enjoy?,Information Seeking
"Some people do, and others do not.",Opinion
You can ask him yourself; most likely he thinks you're lame because you can't do things on your own.,Judging
"If she is a tom boy, you can take her to a less classy diner.",Advice/Opinion-seeking
You also need to keep yourself busy and think of him differently.,Advice/Opinion-seeking
It is simply because they are selfish.,Judging
One shouldn't date at 12 years old.,Judging
Take your time and try again.,Advice/Opinion- seeking
I found one that I like.,Preferences/Decisions
You need trust in a relationship to have good communication.,Advice/Opinion-seeking
I'm not sure what I should do.,Advice/Opinion-seeking
You should call her and tell,Advice/Opinion-seeking
"And of course, a person that is hard to develop a relationship with.",Complaints/Rants
"It would also include someone who had a good sense of humor, and did not take themself too seriously.",Preferences/Decisions
You can sign up for it and be able to track your friends.,Information
"Well, that would mean it is related to having sex.",Judging
I do not have a close relationship with my father.,Personal Experience/Sharing
"If you think that they are sexy, where do you like them at?",Casual Conversation
"Over sixteen, I suppose, because the longer you wait the harder it is to take the first step.",Advice/Opinion-seeking
"Although you have friends, they are probably business associates and not people that you associate with socially.",Judging
"I you don't know or have any special feeling about it, Wee Willy can tell you what you need to know!",Humor
Sometimes things that bother me do not bother him.,Complaints/Rants
I do not want him to think I am weird because I am not.,Emotional Expression
Hit him until he leaves you alone.,Advice/Opinion-seeking
Us guys do not like to play those games because we are no good at them.,Opinion
I hope you like my answer!,Casual Conversation
"No, because if you are only here for sex, then where is the relationship?",Judging
Men can separate sex from emotions which lots of women cannot.,Assessing/Judging
You should be able to read these signs.,Advice/Opinion-seeking
"Please think, they are trying to find out how much you care about their feelings.",Advice/Opinion-seeking
Use lottery tickets. They are cheap and he can win money while doing so.,Advice/Opinion-seeking
Watching porn is done merely for entertainment or to create more excitement and improve one's performance.,Opinion: Preferences/Decisions
"Learn how to cook, if she cannot.",Advice/Opinion-seeking
I believe she is still celibate.,Opinion (Judging)
"I do not want to pay $6,000 to someone who takes blatantly inauthentic wedding photographs.",Complaints/Rants
"Since I ended the relationship, should I return them or not?",Advice/Opinion-seeking
"God is omnipresent, and he or she exists in you.",Socio-emotional Support
Love is finding the one you wish to spend your life with.,Casual Conversation
How might I find a girlfriend in Iran.,Advice/Opinion-seeking
"Although I'm Hispanic, I never desired to wail something out in Spanish.",Personal Experiences/Recommendations
You can try talk and you might get the romance once in a while.,Advice/Opinion-seeking
Why is it so hard for many people to be faithful and find the one?,Causality
"You should just go for it, not say it.",Advice/Opinion-seeking
Real love in this world is sex.,Opinion
There is one man who is 5 years older than me.,Information Giving
"You could always try to talk things over, and then maybe you could save the relationship.",Advice/Opinion-Seeking
"I would advise you to socialize more, go out places, and stay off the computer.",Advice/Opinion-seeking
She is petite and beautiful.,Casual Conversation
"I would like to know how old you are, and if I know, would I want to go out with you?",Information Seeking
"Being in love means you can think about that person for endless amounts of time, as I know from experience.",Personal Experiences/Recommendations
Most people just choose the easy way.,Assessing/Judging
Children tends to choose who they love more; mom or dad which they are depended on.,Assessing/Judging
"No, you deserve more than that, he is not worth it anyway.",Support
"If you here back from your boyfriend/girlfriend, it is basically over.",Assessing/Judging
I'm not interested in girls that do not shave.,Preferences/Decisions
Because she's smooth and does not want you.,Assessing/Judging
Do you look good in them?,Opinion-seeking
I have the same problem here in a small town. That is basically true for anyone else.,Casual Conversation
"If he likes you back, need I say more?",Advice/Opinion-seeking
You should follow your heart and see what happens.,Advice/Opinion-seeking
"There is nothing that ""should"" happen here. It seems you are upset, and that cannot be changed.",Support
Find yourself in the opposite situation and you will see how it would feel if he did that to you. Blue/Kev,Advice/Opinion-seeking
What are some affectionate words I can use to refer to my romantic partner?,Information Seeking
It is different depending on the woman and the man. It is more than a question of simply hair or no-hair.,Opinion
And I do not believe an arranged marriage is always negative.,Opinion/Preferences
"I lived in Long Beach, California but then I moved to Texas in 1992.",Personal Experience
"If you do not know her name, why not introduce yourself and tell her where you have seen her.",Advice/Opinion-seeking
He is only attainable in your dreams.,Judging
"I am very shy, so I find it difficult to approach girls.",Social Support
He is not treating you well; you need to break up with him.,Advice/Opinion-seeking
The bad answer would be no.,Advice/Opinion-seeking
There was no reason for us to break up.,Complaints/Rants
"Only if he puts his actions into words, then give him a chance.",Advice/Opinion-seeking
I am not bad for my weight.,Complaints/Rants
The worst thing he could do is say no.,Advice/Opinion-seeking
You should give him a chance.,Advice/Opinion-seeking
I am bigger than average and have never had a problem.,Personal Experiences/Recommendations
Let her know you are interested in her.,Advice/Opinion-seeking
"Well, most of the time you don't.",Complaints/Rants
Some guys are desperately looking for love.,Casual Conversation
Older men don't want to provide financially for you unless you're a super model.,Assessing/Judging
"Yes, the girl said I would fall for that.",Assessing/Judging
"I believe that if you really are in love with someone, you should both leave your spouses and be together.",Opinion-Seeking
That would be because I do not believe in marriage.,Judging
"We were fortunate, because we were able to.",Personal Experiences/Recommendations
"I wish you the best of luck, and hope this helps.",Support
"If I were able to stay at home, I would never put my child in daycare.",Preferences/Decisions
I do not know her very well.,Information Sharing
Seems like you are looking for a way out of the relationship.,Assessing/Judging
It is bad to be stalking them.,Judging
What does the rest of you say?,Opinion-Seeking
From what you said he is not over her.,Assessing/Judging
Is she the person that you want to spend the rest of your life with?,Information Seeking
"Do not let it bother you, it sounds like she really likes you.",Support
I've met a very nice Italian man who is honest and confident.,Casual Conversation
They are the hottest things on my man!,Opinion - Preferences/Decisions
"The only thing that my husband does when he gets home is eat, sleep, read and watch television.",Complaints/Rants
"When it comes to women, it depends on the woman.",Preferences/Decisions
"My daughter is not married. She is 26, beautiful, and intelligent.",Casual Conversation
"If you would let me have your mom's phone number, I could ask her out and she would not be single anymore.",Humor
I have trouble relaxing and enjoying sex.,Support
You deserve a partner of more quality than this man.,Assessing/Judging
It is due to how we are and I would like to point out that you have spelled 'girls' incorrectly.,Assessing/ Judging
Speak using a telephone as I have previously suggested in response to a different post from you.,Advice/Opinion-seeking
"If a connection is present between you, do not ask as he will ask you first.",Preferences/Decisions
Merely have a satisfying sexual experience with her.,Preferences/Decisions
Please utilize your psychic abilities to provide me with some accurate answers.,Subjective Questions
"If you have good luck, your wife will not discover what you did.",Warning/Caution
